Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,High Equity,Low Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top6,2020,2,February,2020-02,2020-02-10 17:45:00,2020-02-11 15:30:00,10000.0,10118.175691108605,10118.175691108603,10000.0,1.1817569110860404,0.0,0.0,1,100.0,10118.175691108605,,,
top6,2020,3,March,2020-03,2020-03-01 08:00:00,2020-03-30 05:15:00,10118.175691108605,7922.234466766973,10316.790923972818,7115.656414710652,-21.70293629385508,-31.02839374038089,102.53811766689931,5,40.0,7922.234466766973,,,
top6,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 08:00:00,7922.234466766973,8582.731578871644,8582.731578871644,7922.234466766973,8.337257813756892,0.0,16.045460912565073,5,20.0,8582.731578871644,,,
top6,2020,5,May,2020-05,2020-05-04 08:15:00,2020-05-28 08:15:00,8582.731578871644,8900.198374848764,8900.198374848764,8582.731578871644,3.6989016032918487,-0.5265690496765285,9.632710357316787,2,0.0,8900.198374848764,,,
top6,2020,6,June,2020-06,2020-06-01 08:00:00,2020-06-29 08:00:00,8900.198374848764,9516.962527080063,9516.962527080063,8900.198374848764,6.929779834730687,-0.6569745152733786,8.31767029979806,4,75.0,9516.962527080063,,,
top6,2020,7,July,2020-07,2020-07-03 08:15:00,2020-07-31 08:00:00,9516.962527080063,10668.330563636264,10668.330563636264,9516.962527080063,12.098062099961403,0.0,23.90836352321942,4,25.0,10668.330563636264,,,
top6,2020,8,August,2020-08,2020-08-01 09:00:00,2020-08-29 08:00:00,10668.330563636264,12857.88421510895,13315.45143613838,11047.979212462196,20.52386395802104,-6.697185989115684,48.261485191329555,7,57.14285714285714,12857.88421510895,,,
top6,2020,9,September,2020-09,2020-09-01 08:00:00,2020-09-29 07:00:00,12857.88421510895,14124.997364746185,14627.65672013533,12281.302961932246,9.854756260351794,-7.774952522708489,56.423952809943636,5,80.0,14124.997364746183,,,
top6,2020,10,October,2020-10,2020-10-02 04:00:00,2020-10-31 07:00:00,14124.997364746185,16113.35798410256,16777.364561536866,14707.066674302087,14.076891966854577,-0.7521005817912041,14.897372356585247,6,66.66666666666666,16113.357984102558,,,
top6,2020,11,November,2020-11,2020-11-01 08:00:00,2020-11-29 07:00:00,16113.35798410256,16020.12854118769,21514.419862843493,16391.755766935294,-0.5785848176826369,-22.46923977632198,68.26567415498366,10,50.0,16020.128541187689,,,
top6,2020,12,December,2020-12,2020-12-01 14:45:00,2020-12-31 16:30:00,16020.12854118769,17508.25369193037,18926.66694820772,17236.14518467877,9.28909619493199,-2.631610357193437,18.47009656215644,5,60.0,17508.253691930367,,,
top6,2021,1,January,2021-01,2021-01-02 02:15:00,2021-01-31 09:00:00,17508.25369193037,21046.634283733627,22751.705822754586,18926.66694820772,20.20978593332876,-5.25984450541711,30.553063119276153,7,71.42857142857143,21046.634283733623,,,
top6,2021,2,February,2021-02,2021-02-01 15:45:00,2021-02-28 08:45:00,21046.634283733627,26792.479890733925,29607.861810639126,23258.236713927985,27.30054378072748,-6.1056366681316305,27.573851399927225,8,87.5,26792.47989073392,,,
top6,2021,3,March,2021-03,2021-03-01 19:00:00,2021-03-31 13:30:00,26792.479890733925,32844.29059980398,36528.88319983442,29532.63876126148,22.587721382084712,-2.2826550445614324,21.327376579201935,7,57.14285714285714,32844.29059980397,,,
top6,2021,4,April,2021-04,2021-04-01 07:00:00,2021-04-29 07:00:00,32844.29059980398,35544.94871036591,49967.98906367561,36528.88319983442,8.222610570185527,-0.8520921583017871,25.233918638152154,7,57.14285714285714,44927.82176003201,36.790355156278395,True,3.112712507887179
top6,2021,5,May,2021-05,2021-05-03 08:00:00,2021-05-31 04:00:00,35544.94871036591,42835.703511469335,60217.10657221304,46902.326370287425,20.51136677819212,-6.920620707525071,49.004948746836874,6,50.0,54143.13206668459,,,
top6,2021,6,June,2021-06,2021-06-04 07:00:00,2021-06-28 07:00:00,42835.703511469335,45420.605454002696,65220.34501065979,60217.10657221304,6.034456611273464,-2.099748582376293,19.301320028609307,4,25.0,57410.375879233165,,,
top6,2021,7,July,2021-07,2021-07-02 07:00:00,2021-07-30 07:00:00,45420.605454002696,54956.32118208777,77255.89585688664,62561.441701669886,20.994250589067697,-3.8248426998650498,25.21824981544164,3,66.66666666666666,69463.25405544505,,,
top6,2021,8,August,2021-08,2021-08-03 07:00:00,2021-08-31 08:00:00,54956.32118208777,58144.76613227575,83091.83504739053,75591.01977054955,5.801780180342941,-7.580792208104192,32.29613192195387,5,60.0,73493.35936185512,,,
top6,2021,9,September,2021-09,2021-09-01 06:15:00,2021-09-30 21:45:00,58144.76613227575,67470.91823340615,95964.18887509713,82699.56101551004,16.03953841677508,-1.4086353191787526,13.566083990297791,8,62.5,85281.35497047845,,,
top6,2021,10,October,2021-10,2021-10-02 08:00:00,2021-10-31 21:45:00,67470.91823340615,70979.46422981267,109493.65499069766,95964.18887509711,5.200086330927345,-9.225971187078708,39.70002598887434,3,33.33333333333333,89716.05905312794,,,
top6,2021,11,November,2021-11,2021-11-01 05:45:00,2021-11-27 08:00:00,70979.46422981267,71256.1129689038,103282.52999236117,97893.80775210263,0.3897588437627775,-5.217457628755895,31.700664744426977,7,57.14285714285714,90065.73532756294,,,
top6,2021,12,December,2021-12,2021-12-01 08:45:00,2021-12-30 09:00:00,71256.1129689038,77501.05414521194,111533.99359070619,102546.71932953771,8.764077797835279,0.0,13.755639625213792,5,20.0,97959.16644086297,,,
top6,2022,1,January,2022-01,2022-01-02 07:00:00,2022-01-31 08:00:00,77501.05414521194,85985.12558575034,123743.66454433107,111533.99359070619,10.94704005527718,-0.3284702556987207,15.42431564431592,7,42.857142857142854,108682.79562895988,,,
top6,2022,2,February,2022-02,2022-02-03 07:30:00,2022-02-28 08:00:00,85985.12558575034,98315.97744508977,141489.347714919,123743.66454433107,14.340680176180287,-2.664652962562164,35.715630007606045,5,40.0,124268.64775664068,,,
top6,2022,3,March,2022-03,2022-03-03 07:00:00,2022-03-31 07:00:00,98315.97744508977,100845.18884754443,145129.2085072944,137811.35166493137,2.572533445916503,-4.139790567553603,21.22882248703376,3,33.33333333333333,127465.50028296844,,,
top6,2022,4,April,2022-04,2022-04-01 08:30:00,2022-04-30 20:00:00,100845.18884754443,106336.05269915776,158880.91670171078,150676.7990945173,5.444844632017398,-3.0601668695912965,28.980875340778223,1,0.0,134405.79873279977,,,
top6,2022,5,May,2022-05,2022-05-01 03:30:00,2022-05-31 04:00:00,106336.05269915776,124653.1234621433,191579.91730489986,156889.59798137535,17.225644828859267,-11.350250103445358,49.302774750216024,6,33.33333333333333,157558.06425190327,,,
top6,2022,6,June,2022-06,2022-06-02 12:00:00,2022-06-29 00:30:00,124653.1234621433,116801.61390759109,171514.484333721,146414.81233955064,-6.29868657638305,-14.634141303968907,62.54922008433117,5,60.0,147633.97560885968,,,
top6,2022,7,July,2022-07,2022-07-01 07:00:00,2022-07-31 04:15:00,116801.61390759109,121003.1110317655,165077.8051588651,158603.64572094232,3.5971224913882383,-3.3750272061609854,15.291616453104082,5,60.0,152944.55055041658,,,
top6,2022,8,August,2022-08,2022-08-02 07:00:00,2022-08-31 08:45:00,121003.1110317655,123275.53563087722,175674.49091304833,165077.8051588651,1.8779885737939095,-5.304673387523873,26.51944780202782,5,40.0,155816.83173399387,,,
top6,2022,9,September,2022-09,2022-09-01 20:15:00,2022-09-29 19:15:00,123275.53563087722,136888.380223621,186839.68232162122,168177.94747761838,11.042616463257238,-2.2135545728528494,19.70602692904585,4,50.0,173023.08684757768,,,
top6,2022,10,October,2022-10,2022-10-01 08:00:00,2022-10-29 07:45:00,136888.380223621,141921.689196258,193907.4530823887,186749.19319335002,3.676943919136577,-0.23014686615658864,8.084351397783458,4,50.0,179385.0487181221,,,
top6,2022,11,November,2022-11,2022-11-01 03:00:00,2022-11-30 03:30:00,141921.689196258,154113.0186638038,212616.8029353351,195797.4484291753,8.590180638765442,0.0,14.158507130007628,5,40.0,194794.54844194616,,,
top6,2022,12,December,2022-12,2022-12-04 07:00:00,2022-12-30 16:00:00,154113.0186638038,156205.3260639111,215955.9498254345,212616.8029353351,1.3576448104437144,-0.20956398713827262,7.682360335046626,2,0.0,197439.16651989552,,,
top6,2023,1,January,2023-01,2023-01-01 03:30:00,2023-01-31 14:00:00,156205.3260639111,177866.11366076552,249300.3815666192,215503.383926518,13.866868782689235,-1.569763409170788,14.11452261727375,6,66.66666666666666,224817.79666684472,,,
top6,2023,2,February,2023-02,2023-02-02 07:00:00,2023-02-27 07:00:00,177866.11366076552,186922.78921483055,259772.51475304365,245147.29234564552,5.091849913209634,-3.9396809962698898,28.382433183663213,4,25.0,236265.18145130525,,,
top6,2023,3,March,2023-03,2023-03-02 08:45:00,2023-03-30 04:00:00,186922.78921483055,194452.3420009946,269827.45313887094,257881.69087331713,4.028162011594172,-1.328352148624934,12.712831794796491,4,50.0,245782.32573715076,,,
top6,2023,4,April,2023-04,2023-04-03 09:00:00,2023-04-30 10:15:00,194452.3420009946,207145.57324283806,288851.50969490304,268269.5831799328,6.527682367424781,-3.395271420005863,27.827165735803888,7,42.857142857142854,261826.2152765413,,,
top6,2023,5,May,2023-05,2023-05-01 03:30:00,2023-05-29 07:00:00,207145.57324283806,210923.19598109415,290993.03863636666,285781.36945833324,1.8236560304513816,0.0,4.456270671854125,4,25.0,266601.0248407346,,,
top6,2023,6,June,2023-06,2023-06-02 12:00:00,2023-06-30 03:15:00,210923.19598109415,219647.93009377018,304385.64388432715,290993.03863636666,4.136450745539655,-1.4047607750659608,12.051685166779745,5,40.0,277628.8449203755,,,
top6,2023,7,July,2023-07,2023-07-01 16:00:00,2023-07-28 08:00:00,219647.93009377018,223319.7536501964,308095.529275122,303029.82235250913,1.6716859361518566,0.0,8.845730514524025,2,0.0,282269.9272756103,,,
top6,2023,8,August,2023-08,2023-08-01 07:00:00,2023-08-29 15:00:00,223319.7536501964,226165.37152780461,317662.2992377843,308095.529275122,1.2742347379021135,-1.7757567442691302,11.61603864554152,4,25.0,285866.7087436071,,,
top6,2023,9,September,2023-09,2023-09-02 03:30:00,2023-09-30 07:00:00,226165.37152780461,244443.0939090304,337237.62974196183,312021.38953506894,8.081574229403522,-0.6815582660669839,21.526037274029942,4,25.0,308969.23900787445,,,
top6,2023,10,October,2023-10,2023-10-04 14:45:00,2023-10-30 23:30:00,244443.0939090304,260162.62267768994,358924.5448346671,334889.04687995726,6.430751843825688,-0.8234313264982585,14.706080095085062,5,40.0,328838.28404222755,,,
top6,2023,11,November,2023-11,2023-11-01 14:30:00,2023-11-30 03:30:00,260162.62267768994,318113.48475174495,438874.4875997946,345310.53929841035,22.27486080729173,-3.7929993175941368,26.675543002083973,6,83.33333333333334,402086.55409372033,,,
top6,2023,12,December,2023-12,2023-12-01 01:30:00,2023-12-31 12:00:00,318113.48475174495,350735.4903576093,481003.9850679605,436265.6705012446,10.254832683789704,-2.406739259342139,18.079289068786057,8,75.0,443319.857460047,,,
top6,2024,1,January,2024-01,2024-01-01 12:30:00,2024-01-31 19:15:00,350735.4903576093,421056.10045040725,587912.885574923,489725.5116102147,20.04947090501141,-1.1400026820364562,19.247855885908454,7,42.857142857142854,532203.1432976371,,,
top6,2024,2,February,2024-02,2024-02-01 07:00:00,2024-02-29 04:00:00,421056.10045040725,450854.16969559924,639914.9849131005,587912.885574923,7.076983141514104,-3.489165684136597,18.89412410372898,5,40.0,569867.0700274191,,,
top6,2024,3,March,2024-03,2024-03-01 09:15:00,2024-03-28 12:30:00,450854.16969559924,441560.21436479734,637311.5891434329,602403.7245382894,-2.061410530388763,-5.477362282405817,26.08070937920815,4,50.0,558119.770236656,,,
top6,2024,4,April,2024-04,2024-04-01 03:30:00,2024-04-29 14:30:00,441560.21436479734,419779.5900675337,602403.7245382894,569488.9903118773,-4.932650992706844,-5.463899522141801,22.469883637730284,4,25.0,530589.6698495843,,,
top6,2024,5,May,2024-05,2024-05-01 05:00:00,2024-05-31 08:30:00,419779.5900675337,440433.08583424037,593291.6246038701,565470.0406872834,4.920080979493058,0.0,9.364248587206287,4,25.0,556695.1112750089,,,
top6,2024,6,June,2024-06,2024-06-04 14:00:00,2024-06-29 07:00:00,440433.08583424037,489454.3765851725,670513.8183988453,593291.6246038701,11.130247097145096,-6.719039289253404,42.91087273874876,5,60.0,618656.6527376442,,,
top6,2024,7,July,2024-07,2024-07-02 12:30:00,2024-07-31 13:15:00,489454.3765851725,475107.86046141956,659326.4484289474,551380.2009794151,-2.931124290653142,-16.372200403419,54.57086244241975,6,50.0,600523.0573135094,,,
top6,2024,8,August,2024-08,2024-08-01 21:00:00,2024-08-31 15:00:00,475107.86046141956,537007.3512451487,708971.6434779848,623872.303456835,13.028513298772415,-0.5385340913196646,26.480409121047288,5,40.0,678762.2836977947,,,
top6,2024,9,September,2024-09,2024-09-02 04:00:00,2024-09-30 05:15:00,537007.3512451487,596199.0597510239,790281.2488162819,711820.7136099244,11.022513633868991,0.0,11.136348514083688,4,25.0,753578.9489599447,,,
top6,2024,10,October,2024-10,2024-10-01 03:30:00,2024-10-30 12:00:00,596199.0597510239,708935.1420712583,956597.841508255,804478.0119106506,18.90913453760119,-2.0868806789251737,20.27610419344363,8,75.0,896074.2062658216,,,
top6,2024,11,November,2024-11,2024-11-01 14:00:00,2024-11-28 22:00:00,708935.1420712583,821546.540891148,1061412.4798304664,911822.3751319471,15.884584094798715,-0.5871431875474231,15.555946916723443,6,66.66666666666666,1038411.8671119161,,,
top6,2024,12,December,2024-12,2024-12-01 07:00:00,2024-12-25 11:30:00,821546.540891148,948025.7051576782,1240395.0122679162,1056661.5671049722,15.395252486771561,-3.0541481333330123,22.50586481667424,3,66.66666666666666,1198277.9959063942,,,
top6,2025,1,January,2025-01,2025-01-01 14:00:00,2025-01-30 15:30:00,948025.7051576782,950211.0619608352,1303406.198235345,1217726.312079085,0.23051661903972231,-6.573536804739788,26.792391498439606,6,50.0,1201040.2258292546,,,
top6,2025,2,February,2025-02,2025-02-03 13:00:00,2025-02-28 16:45:00,950211.0619608352,1058395.1734383265,1361292.9358433755,1222148.058371594,11.385271736812319,-0.4391704525802176,24.59038536247186,4,25.0,1337781.9192083396,,,
top6,2025,3,March,2025-03,2025-03-02 16:45:00,2025-03-05 16:00:00,1058395.1734383265,1112293.8030746605,1463270.021110776,1392364.070985199,5.092486340544977,0.0,12.753473033376784,2,50.0,1405908.2807103046,,,
